,title,company,salary,summary
170,ARCHAEOLOGICAL TECHNICIAN,City of Santa Fe,,The Archaeology Technician performs a variety of complex technical duties to help expedite various phases of assigned projects and processes; and conducts…
171,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
172,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
173,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
174,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
175,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
176,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
177,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
178,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
179,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
180,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
181,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
182,Part-time Delivery Driver,Sacred Garden,$15 - $17 an hour,"All applicants must have a valid driver's license, be insurable and have a clean driving record.Employee's own clothing, so long as it meets the company dress…"
183,Game and Fish Warden Recruit,State of New Mexico,"$26,764 - $46,562 a year","Game, fish, and furbearers may be handled, restrained, or even field dressed and loaded in vehicles or other transports.Weekend and occasional holiday work."
184,ARCHAEOLOGICAL TECHNICIAN,City of Santa Fe,,The Archaeology Technician performs a variety of complex technical duties to help expedite various phases of assigned projects and processes; and conducts…
185,Kennel Assistant Smith Veterinary Hospital,Pathway,,"Previous experience in the veterinary field preferred but not required.Ability to pay close attention to detail and ensure accuracy of patient care, charge…"
186,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
187,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
188,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
189,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
190,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
191,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
192,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
193,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
194,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
195,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
196,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
197,Part-time Delivery Driver,Sacred Garden,$15 - $17 an hour,"All applicants must have a valid driver's license, be insurable and have a clean driving record.Employee's own clothing, so long as it meets the company dress…"
198,Game and Fish Warden Recruit,State of New Mexico,"$26,764 - $46,562 a year","Game, fish, and furbearers may be handled, restrained, or even field dressed and loaded in vehicles or other transports.Weekend and occasional holiday work."
199,ARCHAEOLOGICAL TECHNICIAN,City of Santa Fe,,The Archaeology Technician performs a variety of complex technical duties to help expedite various phases of assigned projects and processes; and conducts…
200,Kennel Assistant Smith Veterinary Hospital,Pathway,,"Previous experience in the veterinary field preferred but not required.Ability to pay close attention to detail and ensure accuracy of patient care, charge…"
201,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
202,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
203,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
204,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
205,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
206,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
207,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
208,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
209,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
210,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
