,title,company,salary,summary
539,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
540,Work from Home! State-Run Program for Discounted Green Energ...,Solar With No Panels,"$500 - $2,500 a week","And GUARANTEED savings of 10% - 30% of their electricity cost!""I was looking for a way to earn some money on a part-time basis, but I needed something that…"
541,Order Selector (Immediately Hiring) - Earn up to $19/hr,Amazon,Up to $19 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
542,Amazon Picker/Packer (Immediate Openings) - Earn up to $17.5...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
543,Games Writing Co-op,Hasbro,,"Pursuing a degree in English, Creative Writing, Journalism, Communications, or a related field.Brainstorming with cross-functional design and marketing…"
544,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
545,Deputy Town Clerk,"Town of Foster, RI","Up to $40,500 a year","Applicants must possess a thorough knowledge of office management procedures, practices, and systems; have the ability to provide leadership in training and…"
546,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
547,Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
548,Information Desk Greeter,Lifespan,,Answers telephone and uses appropriate telephone techniques and proper identification.Responsible for transferring calls to patient room nursing stations or…
549,Administrative Assistant/Receptionist,Jewish Community Day School of RI,$15 - $21 an hour,"Responsibilities include, but are not limited to: responding with warmth and patience to students, staff, teachers, and parents; sustaining administrative…"
550,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
551,Warehouse (Multiple Shifts Available),Amazon,$16.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
552,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
553,Analyst/Associate-Advisory Services,Hotel Asset Value Enhancement Inc. (hotelAVE),"$51,000 - $71,000 a year","The position assists in the preparation and deliverable of lodging related engagements in areas of acquisitions, dispositions, new development, lending services…"
554,Amazon Order Filler (Multiple Shifts Available) - Earn up to...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
555,Games Writing Co-op,Hasbro,,"Pursuing a degree in English, Creative Writing, Journalism, Communications, or a related field.Brainstorming with cross-functional design and marketing…"
556,Work from Home! State-Run Program for Discounted Green Energ...,Solar With No Panels,"$500 - $2,500 a week","And GUARANTEED savings of 10% - 30% of their electricity cost!""I was looking for a way to earn some money on a part-time basis, but I needed something that…"
557,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
558,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
559,Crew Member **4AM-2PM** - Dunkin' Donuts 552 Cranston Street...,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
