,title,company,salary,summary
202,Kennel Technician/Camp Counselor: Work with Dogs!!!!,CAMP BOW WOW NEW ORLEANS,From $11 an hour,Complete Pet First Aid and Doggy CPR certification within 60 days of hire (we will provide training and pay for certification).
203,Human Resources Coordinator,"Marriott International, Inc",,Answer phone calls and record messages.Speak with others using clear and professional language; prepare and review written documents accurately and completely;…
204,MISSION SUPPORT SPECIALIST (LOGISTICS),US Department of Homeland Security,"$64,649 - $84,049 a year","Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
205,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
206,Airport Operations Crew PT,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
207,Social Media Coordinator,Joliet Landscaping Pros,$10 an hour,This is an entry level position and no experience necessary.Looking for an employee to work 100% remote from home to assists in the growth of our cleaning…
208,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
209,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
210,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
211,Customer Care Specialist,Pizzuto Hansen & Partners,"$45,000 - $86,400 a year","Daily tasks include inbound/outbound calls, scheduling new appointments, client policy reviews, data entry, and servicing requested benefits."
212,IT Tech II,Technology Lab,"$55,000 - $70,000 a year","+ 3+ years of experience working in this high-speed, fast paced and ever-changing field.+ Coordinate with Sales Staff and Management, as well as other…"
213,Media Producer,The Historic New Orleans Collection,,"This position also requires a proficiency in Microsoft Office and an ability to learn and use museum specific software/databases, knowledge of current…"
214,,"Loomis Armored US, LLC",$13 an hour,"Ability to perform simple computer data entry.Separate currency, coin, and/or check deposits received from bank, ATM, and/or commercial customers providing…"
215,Part-Time Employment Opportunities - Sazerac House,Sazerac Company,$13.50 - $19.50 an hour,1 year Experience dealing with VIP guests.1 year Experience dealing with VIP guests.Creates and develops a personal development plan with management to…
216,Restaurant Server,Houston's Restaurant,$100 - $300 a day,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience not required; In depth training provided from the outset."
217,Restaurant Team Member,Five Guys Burgers & Fries,Up to $13 an hour,"A unique crew bonus program is also available, which gives you the opportunity to earn cash bonuses twice a week, allowing you to earn a much higher income."
218,Website Administrator,Papier Plume,From $15 an hour,"Customer service: Answer customers email and phone calls, correct problems.Work with Photoshop or design programs for pictures, advertisement and promotions."
219,Quality Assurance Coordinator,"EXCELth, INC.","$28,026 - $105,904 a year","Education* Bachelor degree in Public Health, Health Science, Nursing, or related field (MS in Nursing / RN preferred) and 5 years of Nursing experience and 2…"
220,Forklift Operator P/T Starting at $12.01 hr,R+L Carriers,,R+L Carriers has immediate need for a Part Time Forklift Operators in our Service Center to unload and load trailers.25-30 hours per week.
221,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
222,Vivid Professional Development Program,Vivid Ink Graphics,$16 - $20 an hour,Only full-time employees eligible.Personal protective equipment provided or required.
223,Kennel Technician/Camp Counselor: Work with Dogs!!!!,CAMP BOW WOW NEW ORLEANS,From $11 an hour,Complete Pet First Aid and Doggy CPR certification within 60 days of hire (we will provide training and pay for certification).
224,Project Manager Assistant,"Picardie Timber Frame, LLC",From $20 an hour,"Use of Adobe tools or Bluebeam.Ability to read and comprehend construction plans and specifications.Bachelor’s in Construction Management, Engineering, or…"
