,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,"Store Associate - Dover, DE",Lidl US,,"DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.More than just cashiers, however, they get involved in every part of…"
2,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
3,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
4,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
5,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
6,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
7,,"Holler Law Firm, LLC.",,Current license to practice law and currently reside in Delaware or the ability to relocate to the state prior to starting work.
8,Accounting / Office Assistant,DOVER POOLS,$13 - $15 an hour,"Maintain an orderly accounting filing system.This is a full time position working out of our corporate office in Dover, Delaware."
9,"Testing Site Specialists/Site Leads in Dover, DE",Curative Inc.,$20 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Comply with all designated safety policies and procedures in the work…"
10,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
11,Full-Time Warehouse Associate NJ1 - Make up to $17.50!,Walmart,,"You could find yourself performing a number of different roles related to material handling; such as packing, order-filling, loading, and more; but no matter…"
12,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
13,Cargo Handler,Forward Air,$14.05 an hour,Must be able to obtain certification and safely operate forklift and other machinery as required.Our Cargo Handlers are responsible for loading and unloading…
14,Summer Reading Tutor,Reading Assist,$15 - $30 an hour,"U.S. citizen or permanent resident alien.Reading Assist Summer Tutors serve in public schools throughout Delaware (New Castle, Kent, and Sussex Counties) for 6…"
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
17,Human Resources Generalist,Middlesex Water Company,$22 - $26 an hour,Associate degree or HR Certification and minimum 5 years in a Human Resources Generalist/Recruiter role focused on recruitment of all levels of employees from…
18,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
19,"Store Associate - Dover, DE",Lidl US,,"DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.More than just cashiers, however, they get involved in every part of…"
20,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
21,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
22,Patient Care Coordinator,Eye Specialists of Delaware,$11 - $15 an hour,Patient Coordinators meet and greet patient while delivering exceptional patient care.Ophthalmic Technicians perform a variety of patient services including…
23,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
24,"Testing Site Specialists/Site Leads in Dover, DE",Curative Inc.,$20 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Comply with all designated safety policies and procedures in the work…"
25,Assistant Manager,Dunkin',$17 - $19 an hour,Our Assistant Store Leaders play a vital role in restaurant management operations by providing a hospitable environment and ensuring a satisfactory experience…
26,,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
27,Amazon Seasonal Warehouse Team Member,Amazon,$16.15 an hour,"Warehouse Team Member (Seasonal, Full-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a…"
28,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
29,Accounting / Office Assistant,DOVER POOLS,$13 - $15 an hour,"Maintain an orderly accounting filing system.This is a full time position working out of our corporate office in Dover, Delaware."
30,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
31,"Store Associate - Dover, DE",Lidl US,,"DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.More than just cashiers, however, they get involved in every part of…"
32,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
33,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
34,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
35,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
36,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
37,,"Holler Law Firm, LLC.",,Current license to practice law and currently reside in Delaware or the ability to relocate to the state prior to starting work.
38,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
39,Accounting / Office Assistant,DOVER POOLS,$13 - $15 an hour,"Maintain an orderly accounting filing system.This is a full time position working out of our corporate office in Dover, Delaware."
40,"Testing Site Specialists/Site Leads in Dover, DE",Curative Inc.,$20 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Comply with all designated safety policies and procedures in the work…"
41,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
42,Cargo Handler,Forward Air,$14.05 an hour,Must be able to obtain certification and safely operate forklift and other machinery as required.Our Cargo Handlers are responsible for loading and unloading…
43,Full-Time Warehouse Associate NJ1 - Make up to $17.50!,Walmart,,"You could find yourself performing a number of different roles related to material handling; such as packing, order-filling, loading, and more; but no matter…"
44,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
45,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
46,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
47,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
48,Human Resources Generalist,Middlesex Water Company,$22 - $26 an hour,Associate degree or HR Certification and minimum 5 years in a Human Resources Generalist/Recruiter role focused on recruitment of all levels of employees from…
49,"Store Associate - Dover, DE",Lidl US,,"DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.More than just cashiers, however, they get involved in every part of…"
50,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
51,Crew Member,Dunkin' Donuts,From $14 an hour,Our Store Associates play a vital role in restaurant/food service operations by providing a hospitable environment and ensuring a satisfactory experience of our…
52,Patient Care Coordinator,Eye Specialists of Delaware,$11 - $15 an hour,Patient Coordinators meet and greet patient while delivering exceptional patient care.Ophthalmic Technicians perform a variety of patient services including…
53,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
54,"Testing Site Specialists/Site Leads in Dover, DE",Curative Inc.,$20 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Comply with all designated safety policies and procedures in the work…"
55,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
56,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
57,Assistant Manager,Dunkin',$17 - $19 an hour,Our Assistant Store Leaders play a vital role in restaurant management operations by providing a hospitable environment and ensuring a satisfactory experience…
58,Amazon Warehousing Worker - Earn up to $700 a Week,Amazon,Up to $700 a week,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
59,,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
60,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
61,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
62,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
63,Purchasing Agent,"Beracah Homes, Inc. (location in Greenwood, DE)",,"Participate in correction of design problems to minimize budget variances, reduce costs and avoid repetitive mistakes.Microsoft Excel: 2 years (Preferred)."
64,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
65,Amazon Seasonal Warehouse Team Member,Amazon,$16.15 an hour,"Warehouse Team Member (Seasonal, Full-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a…"
66,,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
67,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
68,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
69,Judicial Case Processor I,State of Delaware,,This is the entry level of case processing work learning the legal processes and procedures and performing the full range of processing activities of limited…
70,Part-Time Store Associate,ALDI,$13.50 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
71,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
72,Virtual Sleep Consultant - Infant/Baby,learnme live,"Up to $100,000 a year","Can set own appointment hours.Commission pay, providers set their own rate.We are looking for experienced individuals who can provide one-on-one virtual…"
73,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
74,Cashier Associate,Burlington Stores,,"By always maintaining a positive and professional attitude, and working to deliver excellent customer service that addresses all the customer’s needs while…"
75,Operations Support Specialist,State of Delaware,,"Six months experience in office operations such as operating office machines, handling incoming and outgoing mail, postal and shipping services, answering…"
76,Customer Service Representative,VCA Animal Hospitals,,"Customer service functions, including: greeting visitors, answering telephones, and guiding clients and their pets to exam rooms."
77,Human Resources Generalist,Middlesex Water Company,$22 - $26 an hour,Associate degree or HR Certification and minimum 5 years in a Human Resources Generalist/Recruiter role focused on recruitment of all levels of employees from…
78,General Accountant,Confidential-Manufacturing,"$60,000 - $70,000 a year","CPA or CMA is preferred, or actively pursuing certification.HandyTube produces tubing of stainless steel, nickel, and specialty alloys in large volumes for…"
79,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
80,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
81,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
82,"Store Associate - Dover, DE",Lidl US,,"DailyPay, a voluntary benefit to offer employees access to their pay on their own schedule.More than just cashiers, however, they get involved in every part of…"
83,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
84,Correctional Officer,Delaware Department of Correction,"$44,000 - $90,000 a year","Conducts periodic shakedowns of inmates and searches inmates, visitors, employees, cell blocks and/or other structures for such prohibited items as tools,…"
85,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
86,Assistant Manager,Dunkin',$17 - $19 an hour,Our Assistant Store Leaders play a vital role in restaurant management operations by providing a hospitable environment and ensuring a satisfactory experience…
87,Human Resources Generalist,Middlesex Water Company,$22 - $26 an hour,Associate degree or HR Certification and minimum 5 years in a Human Resources Generalist/Recruiter role focused on recruitment of all levels of employees from…
88,,Forward Air,$14.05 an hour,Must be able to obtain certification and safely operate forklift and other machinery as required.Our Cargo Handlers are responsible for loading and unloading…
89,Warehousing Worker - Earn $17/hr or more,Amazon,From $17 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
90,Amazon Seasonal Warehouse Team Member,Amazon,$16.15 an hour,"Warehouse Team Member (Seasonal, Full-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a…"
91,"Testing Site Specialists/Site Leads in Dover, DE",Curative Inc.,$20 an hour,"Understand and comply with applicable federal, state and local laws and company policies.Comply with all designated safety policies and procedures in the work…"
92,Patient Care Coordinator,Eye Specialists of Delaware,$11 - $15 an hour,Patient Coordinators meet and greet patient while delivering exceptional patient care.Ophthalmic Technicians perform a variety of patient services including…
93,Summer Reading Tutor,Reading Assist,$15 - $30 an hour,"U.S. citizen or permanent resident alien.Reading Assist Summer Tutors serve in public schools throughout Delaware (New Castle, Kent, and Sussex Counties) for 6…"
94,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
95,Pub & Grille/Beverage Cart Attendant - Golf Course,Jonathan's Landing Golf Club,From $11 an hour,"Ability to operate golf cart and driving range cart.Job Description: *Handles all golfer/banquet guest needs for JB's Pub, beverage cart and basic Pro Shop…"
96,Production Operator,Kraft Heinz Company,$16.63 an hour,"Accountable for the QRMP (Quality Risk Management Process) standards as outlined in the plant’s QRMP accountability document, including the implementation,…"
97,,Reading Assist,$15 - $30 an hour,"U.S. citizen or permanent resident alien.Reading Assist Summer Tutors serve in public schools throughout Delaware (New Castle, Kent, and Sussex Counties) for 6…"
98,Curriculum Coordinator,Kidz Ink Academy of Early Academics,,"Child care management: 3 years (Preferred).Our Directors oversee the overall operation of the center including: marketing, student enrollment, parent and…"
99,Full time Medical Assistant(MA)/Front desk,"Family Allergy & Asthma Care Consultants, LLC",,"Job Types: Full-time, Part-time.Job Types: Full-time, Part-time."
100,Warehouse Employee,Kraft Heinz Company,$17.05 an hour,Accepts incoming telephone calls and schedules dock delivery times to outside carriers making live load deliveries utilizing EM Crystal system to determine pre…
101,Administrative Specialist II,State of Delaware,,"Obtains, organizes and drafts technical and administrative material necessary for public information or departmental use."
102,Judicial Case Processor I,State of Delaware,,This is the entry level of case processing work learning the legal processes and procedures and performing the full range of processing activities of limited…
