,Unnamed: 0,City,title,company,salary,summary
13,13,"Bridgeport, CT",ASSISTANT RURAL CARRIER (ARC),United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants should have a valid state driver’s license, a safe driving record and at least two years of.May case, deliver, and collect mail."
14,14,"Bridgeport, CT",ACTIVITIES COORDINATOR,"City of Fairfield, CT",$28 - $30 an hour,"Graduation form college or university with a bachelor's degree in gerontology, recreation, social work and one (10 year experience in a related field or any…"
15,15,"Bridgeport, CT",Human Resources Support Assistant,Bridgeport Public Schools,,"Communicate with certified staff regarding certification status and any pending state requirements.Conduct the processing and managing incoming/outgoing calls,…"
16,16,"Bridgeport, CT",SALES ASSOCIATE,Dollar General,,"Operate cash register and scanner to itemize and total customer’s purchase, collect payment from customers and make change, bag merchandise, and assist…"
17,17,"Bridgeport, CT",International Admissions Coordinator,University of Bridgeport,,"This position assists with the recruitment of prospective international students, facilitates admission requirements and provides support and guidance to…"
18,18,"Bridgeport, CT",Guided Pathways Advisor I,North-West Region,"$57,604 a year","Background investigations include reference checks, a criminal history record check and, when appropriate, a financial (credit) report or driving history check."
19,19,"Bridgeport, CT",Assembler/riveter,LOCKHEED MARTIN CORPORATION,, Responsible for checking own work to maintain quality standards.Must maintain any current certification(s) as required.
20,20,"Bridgeport, CT",Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
21,21,"Bridgeport, CT",Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
22,22,"Bridgeport, CT",Cashier,Bass Pro Shops,,"Performs various Customer Service activities, to include greeting and acknowledging all customers in a prompt and friendly manner, handling merchandise with…"
23,23,"Bridgeport, CT",Mailroom Worker,Hearst Media Services,,"Must be able to follow instructions from managers, supervisors and machine operators.Stack printed and finished stacks and bundles of newspapers and insert…"
24,24,"Bridgeport, CT",Summer Camp Counselor,"City of Fairfield, CT",$13 an hour,Planning and programming daily games and activities for the children assigned to your care.Summer Camp Counselors assists the Recreation Department in the…
25,25,"Bridgeport, CT",Crew,Trader Joe's,$13 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
26,26,"Bridgeport, CT",Cashier - Part Time Job,"BJ's Wholesale Club, Inc.",,"Collects payments via cash, check, or other charge payments from members.Maintains the overall cleanliness of the front-line department."
27,27,"Bridgeport, CT",CLERICAL ASSISTANT,Bridgeport Public Schools,"$35,448 a year",AFSCME Local 1522 Job Code: A116.High School Diploma or equivalent.Knowledge of standard office equipment and computers.
28,28,"Bridgeport, CT",Criminal Court Advocate,The Center for Family Justice,$20 an hour,"Bachelor’s Degree in social work, criminal justice, psychology or related field and one to two years social work, case management or criminal justice experience…"
29,29,"Bridgeport, CT",Bridgeport YMCA Summer Camp Counselors,Central Connecticut Coast YMCA,,"All applicable licensing standards, grant stipulations, YMCA policies, state and local laws, and YMCA of the USA risk management recommendations are met or…"
30,30,"Bridgeport, CT",CLERICAL ASSISTANT,Bridgeport Public Schools,"$35,448 a year",AFSCME Local 1522 Job Code: A116.High School Diploma or equivalent.Knowledge of standard office equipment and computers.
31,31,"Bridgeport, CT",Human Resources Support Assistant,Bridgeport Public Schools,,"Communicate with certified staff regarding certification status and any pending state requirements.Conduct the processing and managing incoming/outgoing calls,…"
32,32,"Bridgeport, CT",Full-Time Store Associate,Aldi,$14.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
33,33,"Bridgeport, CT",Milktech,MILKCRAFT,$12.00 - $13.50 an hour,We offer flexible schedules and our hiring a new management team due to previous bad reviews with managers.
34,34,"Bridgeport, CT",Guided Pathways Advisor I,North-West Region,"$57,604 a year","Background investigations include reference checks, a criminal history record check and, when appropriate, a financial (credit) report or driving history check."
35,35,"Bridgeport, CT",Cashier - Part Time Job,"BJ's Wholesale Club, Inc.",,"Collects payments via cash, check, or other charge payments from members.Maintains the overall cleanliness of the front-line department."
36,36,"Bridgeport, CT",Cashier,Bass Pro Shops,,"Performs various Customer Service activities, to include greeting and acknowledging all customers in a prompt and friendly manner, handling merchandise with…"
37,37,"Bridgeport, CT",Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
38,38,"Bridgeport, CT",International Admissions Coordinator,University of Bridgeport,,"This position assists with the recruitment of prospective international students, facilitates admission requirements and provides support and guidance to…"
39,39,"Bridgeport, CT",Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
40,40,"Bridgeport, CT",Crew,Trader Joe's,$13 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
41,41,"Bridgeport, CT",Summer Camp Counselor,"City of Fairfield, CT",$13 an hour,Planning and programming daily games and activities for the children assigned to your care.Summer Camp Counselors assists the Recreation Department in the…
42,42,"Bridgeport, CT",Hedge Fund Investment Due Diligence Internship (Summer 2021),Albourne,$20 an hour,"Assist others in HFIDD: assistHFIDD colleagues with the preparation of research and analysis, participatingin calls/meetings as directed, the writing notes,…"
43,43,"Bridgeport, CT",Subway Sandwich Artist®,Subway,From $13 an hour,"Exhibits a cheerful and helpful manner while greeting guests and preparing their orders.A SUBWAY® Sandwich Artist® greets and serves guests, prepares food,…"
44,44,"Bridgeport, CT",Bridgeport YMCA Summer Camp Counselors,Central Connecticut Coast YMCA,,"All applicable licensing standards, grant stipulations, YMCA policies, state and local laws, and YMCA of the USA risk management recommendations are met or…"
45,45,"Bridgeport, CT",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
46,46,"Bridgeport, CT",Amazon Warehouse Worker with Immediate Openings,Amazon Workforce Staffing,$15.25 - $19.25 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
47,47,"Bridgeport, CT",Package Sorter - Immediate Hire,Amazon Workforce Staffing,$15.25 - $16.40 an hour,"As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers.Overnight, Early Morning, Day, Evening, Weekend."
48,48,"Bridgeport, CT",,St. Vincent's Medical Center,,Must hold a FP license and may do all fire protection sprinkler system work as defined in section 20-330 of the Connecticut General Statutes.
49,49,"Bridgeport, CT",Amazon Picker Packer,Amazon Workforce Staffing,$15.25 - $16.40 an hour,"As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers.Overnight, Early Morning, Day, Evening, Weekend."
50,50,"Bridgeport, CT","PSYCHIATRIC APRN PMHNP ON SITE TO $100.00 HOUR FT OR PT, cho...","New England Personnel, LLC",$80 - $100 an hour,"Board certified, 18 month exp a PMHNP, outpatient and ultimately on site is a must by June 2021. confirm.Two New Psychiatric Roles, allowing to 90 minutes for…"
51,51,"Bridgeport, CT",Landscape Labors,Tom Conte Landscaping LLC,,"Valid Driver’s license is a plus.While performing the duties of this job, the employee is regularly exposed to wet and/or humid conditions, outside weather …"
52,52,"Bridgeport, CT",Executive Assistant,Boldly,$20 an hour,"Maximizing the executive’s time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;…"
53,53,"Bridgeport, CT",Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
54,54,"Bridgeport, CT",Cashier,Bass Pro Shops,,"Performs various Customer Service activities, to include greeting and acknowledging all customers in a prompt and friendly manner, handling merchandise with…"
