,Unnamed: 0,City,title,company,salary,summary
0,0,"Cheyenne, WY",Receptionist/Administrative Assistant,Tyrrell Auto Centers,$12 - $25 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
1,1,"Cheyenne, WY",Receptionist/Kennel Technician,Broadmoor East LLC,$12 - $14 an hour,"In this role, you do more than cleaning and disinfecting our kennels — you also learn animal care and behavior basics while assisting our team with…"
2,2,"Cheyenne, WY",Eye Technician,Cheyenne Eye Clinic,$16 - $18 an hour,Self-study is required to obtain/maintain ophthalmic technician certification within 18 months of employment.Answer and return phone calls and write scripts as…
3,3,"Cheyenne, WY",,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
4,4,"Cheyenne, WY",Crew,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
5,5,"Cheyenne, WY",Warehouse Distribution Team Member – All Shifts,Lowe's,,"Experience operating power equipment (e.g., forklift, reach truck, yard truck).Discounts available to various merchants and service providers including…"
6,6,"Cheyenne, WY",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
7,7,"Cheyenne, WY",Office Assistant I,State of Wyoming,$12.57 - $16.20 an hour,Knowledge of telephone etiquette and coordinating telephone and visitor traffic.The Interlibrary Loan Technician will spend a significant amount of time…
8,8,"Cheyenne, WY",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
9,9,"Cheyenne, WY",eTeller,Blue Federal Credit Union,,"Promptly, accurately and efficiently process member financial transactions including but not limited to: deposits , withdrawals, check cashing , cash advances,…"
10,10,"Cheyenne, WY",Crew Member/Warehouse Team,Johnson Storage & Moving Co.,$15 - $21 an hour,"Cleans the truck or vehicle used during the move, after the move is completed.Display professional conduct, courtesy and manners, when entering and performing…"
11,11,"Cheyenne, WY",Career Opportunities,Bish's RV Cheyenne,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
12,12,"Cheyenne, WY",TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
13,13,"Cheyenne, WY",Front Desk Associate,Fitness 307,$9 - $10 an hour,Several part time day and night shifts available with some weekends.Full time a possibility to the right candidate.
14,14,"Cheyenne, WY",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
15,15,"Cheyenne, WY",Receptionist/Administrative Assistant,Tyrrell Auto Centers,$12 - $25 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
16,16,"Cheyenne, WY",Receptionist/Kennel Technician,Broadmoor East LLC,$12 - $14 an hour,"In this role, you do more than cleaning and disinfecting our kennels — you also learn animal care and behavior basics while assisting our team with…"
17,17,"Cheyenne, WY",Eye Technician,Cheyenne Eye Clinic,$16 - $18 an hour,Self-study is required to obtain/maintain ophthalmic technician certification within 18 months of employment.Answer and return phone calls and write scripts as…
18,18,"Cheyenne, WY","Case Manager, Community Corrections",CoreCivic,,A valid driver's license is required.Graduate from an accredited college or university with a Bachelor's degree in human services or related field is required.
19,19,"Cheyenne, WY",Freight Handler,Walmart DC 7077,$19.55 - $23.25 an hour,You will be lifting heavy cases in extreme climates.Handles and processes freight in a safe and correct manner through the facility to the Stores.
20,20,"Cheyenne, WY",,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
21,21,"Cheyenne, WY",Crew,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
22,22,"Cheyenne, WY",Office Assistant I,State of Wyoming,$12.57 - $16.20 an hour,Knowledge of telephone etiquette and coordinating telephone and visitor traffic.The Interlibrary Loan Technician will spend a significant amount of time…
23,23,"Cheyenne, WY",Team Member,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
24,24,"Cheyenne, WY",Server,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
25,25,"Cheyenne, WY",Warehouse Distribution Team Member – All Shifts,Lowe's,,"Experience operating power equipment (e.g., forklift, reach truck, yard truck).Discounts available to various merchants and service providers including…"
26,26,"Cheyenne, WY",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
27,27,"Cheyenne, WY",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
28,28,"Cheyenne, WY",Magpul Firearms Accessories Assembly,ResourceMFG,$16.08 an hour,You will be responsible for assembling weapons accessories manually and with pneumatic tools and hand tools in a lean production environment.
29,29,"Cheyenne, WY",Career Opportunities,Bish's RV Cheyenne,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
30,30,"Cheyenne, WY",Receptionist/Administrative Assistant,Tyrrell Auto Centers,$12 - $25 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
31,31,"Cheyenne, WY",Receptionist/Kennel Technician,Broadmoor East LLC,$12 - $14 an hour,"In this role, you do more than cleaning and disinfecting our kennels — you also learn animal care and behavior basics while assisting our team with…"
32,32,"Cheyenne, WY",Payroll Administrator,Tyrrell Auto Centers,$17 - $20 an hour,"This individual will be responsible for calculating payroll, managing direct deposits, benefits withholding, payroll deductions, garnishments, federal payroll…"
33,33,"Cheyenne, WY",Freight Handler,Walmart DC 7077,$19.55 - $23.25 an hour,You will be lifting heavy cases in extreme climates.Handles and processes freight in a safe and correct manner through the facility to the Stores.
34,34,"Cheyenne, WY",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
35,35,"Cheyenne, WY",Career Opportunities,Bish's RV Cheyenne,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
36,36,"Cheyenne, WY",Office Assistant I,State of Wyoming,$12.57 - $16.20 an hour,Knowledge of telephone etiquette and coordinating telephone and visitor traffic.The Interlibrary Loan Technician will spend a significant amount of time…
37,37,"Cheyenne, WY",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
38,38,"Cheyenne, WY",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
39,39,"Cheyenne, WY",TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
40,40,"Cheyenne, WY",Crew Member/Warehouse Team,Johnson Storage & Moving Co.,$15 - $21 an hour,"Cleans the truck or vehicle used during the move, after the move is completed.Display professional conduct, courtesy and manners, when entering and performing…"
41,41,"Cheyenne, WY",Plant Scheduler/Customer Service,DyStar,$18 - $20 an hour,Maintains data entry requirements to process and complete bill of materials in ERP system.Completes all paperwork necessary for each customer order complying…
42,42,"Cheyenne, WY",Front Desk Associate,Fitness 307,$9 - $10 an hour,Several part time day and night shifts available with some weekends.Full time a possibility to the right candidate.
43,43,"Cheyenne, WY",Scheduling Coordinator,Home Instead Senior Care of Wyoming,"$35,000 - $40,000 a year",Professional experience in the field of customer service.Professional experience in the field of customer service.Personal & professional on-going training.
44,44,"Cheyenne, WY",,ResourceMFG,$16.08 an hour,You will be responsible for assembling weapons accessories manually and with pneumatic tools and hand tools in a lean production environment.
45,45,"Cheyenne, WY",Receptionist/Administrative Assistant,Tyrrell Auto Centers,$12 - $25 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
46,46,"Cheyenne, WY",Receptionist/Kennel Technician,Broadmoor East LLC,$12 - $14 an hour,"In this role, you do more than cleaning and disinfecting our kennels — you also learn animal care and behavior basics while assisting our team with…"
47,47,"Cheyenne, WY",Eye Technician,Cheyenne Eye Clinic,$16 - $18 an hour,Self-study is required to obtain/maintain ophthalmic technician certification within 18 months of employment.Answer and return phone calls and write scripts as…
48,48,"Cheyenne, WY",,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
49,49,"Cheyenne, WY",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
50,50,"Cheyenne, WY",Crew,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
51,51,"Cheyenne, WY",Warehouse Distribution Team Member – All Shifts,Lowe's,,"Experience operating power equipment (e.g., forklift, reach truck, yard truck).Discounts available to various merchants and service providers including…"
52,52,"Cheyenne, WY",Office Assistant I,State of Wyoming,$12.57 - $16.20 an hour,Knowledge of telephone etiquette and coordinating telephone and visitor traffic.The Interlibrary Loan Technician will spend a significant amount of time…
53,53,"Cheyenne, WY",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
54,54,"Cheyenne, WY",eTeller,Blue Federal Credit Union,,"Promptly, accurately and efficiently process member financial transactions including but not limited to: deposits , withdrawals, check cashing , cash advances,…"
55,55,"Cheyenne, WY",Crew Member/Warehouse Team,Johnson Storage & Moving Co.,$15 - $21 an hour,"Cleans the truck or vehicle used during the move, after the move is completed.Display professional conduct, courtesy and manners, when entering and performing…"
56,56,"Cheyenne, WY",Career Opportunities,Bish's RV Cheyenne,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
57,57,"Cheyenne, WY",TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
58,58,"Cheyenne, WY",Front Desk Associate,Fitness 307,$9 - $10 an hour,Several part time day and night shifts available with some weekends.Full time a possibility to the right candidate.
59,59,"Cheyenne, WY",Scheduling Coordinator,Home Instead Senior Care of Wyoming,"$35,000 - $40,000 a year",Professional experience in the field of customer service.Professional experience in the field of customer service.Personal & professional on-going training.
60,60,"Cheyenne, WY",Receptionist/Administrative Assistant,Tyrrell Auto Centers,$12 - $25 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
61,61,"Cheyenne, WY",Receptionist/Kennel Technician,Broadmoor East LLC,$12 - $14 an hour,"In this role, you do more than cleaning and disinfecting our kennels — you also learn animal care and behavior basics while assisting our team with…"
62,62,"Cheyenne, WY",Payroll Administrator,Tyrrell Auto Centers,$17 - $20 an hour,"This individual will be responsible for calculating payroll, managing direct deposits, benefits withholding, payroll deductions, garnishments, federal payroll…"
63,63,"Cheyenne, WY",Freight Handler,Walmart DC 7077,$19.55 - $23.25 an hour,You will be lifting heavy cases in extreme climates.Handles and processes freight in a safe and correct manner through the facility to the Stores.
64,64,"Cheyenne, WY",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
65,65,"Cheyenne, WY",Career Opportunities,Bish's RV Cheyenne,,"Comprehensive benefits package including medical, vision, dental, and other supplemental coverages."
