,Unnamed: 0,City,title,company,salary,summary
0,0,"Hartford,CT",10 month Secretary - Northeast School,Vernon Public Schools,,"The Vernon Public Schools, in partnership with family and community, is committed to provide a quality education, with high expectations, in a safe environment…"
1,1,"Hartford,CT",Warehouse Person (Loader) FT/Evenings,PepsiCo,$18.36 an hour,"Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without…"
2,2,"Hartford,CT",Admissions Counselor,Trinity College,,"A valid driver’s license and the ability to drive to off-campus locations.Cultivate strong professional relationships with secondary school counselors,…"
3,3,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
4,4,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
5,5,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
6,6,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
7,7,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
8,8,"Hartford,CT",Front Desk Staff (as-needed),HealthFitness,,"Assists with all member service desk administration and processes, including answering phones.You will greet, check in, and assist members and guests; provide…"
9,9,"Hartford,CT",Groundskeeper - Buildings and Grounds,Hartford Public Schools,"$39,687 - $43,362 a year","A valid Connecticut driver’s license is required.Saws, pole saws, leaf blowers and all hand tools applied in this field."
10,10,"Hartford,CT","Investment Risk, Associate",Global Atlantic Financial Group,,"Continually challenge and ensure investment risk profile stays within agreed risk appetite through the establishment, review and monitoring of risk limits."
11,11,"Hartford,CT","Project Specialist- Hartford, CT",Tesla,,"Identify common issues and develop suitable solutions to incoming inquiries in a timely, efficient and professional manner.UnitedHealthcare PPO and HSA plans."
12,12,"Hartford,CT",General Wellness Vet Assistant,VCA Animal Hospitals,,The successful candidate will be a believer in the possibilities of high quality veterinary medicine and patient care—with the expertise and technical know-how…
13,13,"Hartford,CT",Elementary Teachers,Vernon Public Schools,,50K term life insurance at no cost to employee.Vernon Public Schools provides teachers with a comprehensive benefits package.
14,14,"Hartford,CT",Front Desk Receptionist,Benchmark Senior Living,,Professionally handles all phone calls and routes callers or answers questions in a timely and courteous manner.Greets visitors immediately upon arrival.
15,15,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
16,16,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
17,17,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
18,18,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
19,19,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
20,20,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
21,21,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
22,22,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
23,23,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
24,24,"Hartford,CT",Student and Family Services Coordinator,Avon Public Schools,,Any employee or student wishing to file a complaint regarding discrimination may obtain a copy of the Board’s complaint procedures and complaint form which are…
25,25,"Hartford,CT",PATIENT ACCESS/REGISTRATION (ADMITTING REGISTRAR),Trinity Health Of New England,,"Technical Familiarity: Accurately enter/update all patient demographic information, including insurance and patient liability; post payments to appropriate…"
26,26,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
27,27,"Hartford,CT",Laboratory Assistant - Anxiety Research Center,Hartford Hospital,,"Strong math, science, and computer skills.Additional voluntary benefits as well as employee discount programs.Reports to: Division/Section Supervisor."
28,28,"Hartford,CT",PT Lending Services Assistant - Farmington Libraries,Town of Farmington Connecticut,$16.17 an hour,Part-Time Lending Services Assistant - The Farmington Libraries.
29,29,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
30,30,"Hartford,CT","Project Specialist- Hartford, CT",Tesla,,"Identify common issues and develop suitable solutions to incoming inquiries in a timely, efficient and professional manner.UnitedHealthcare PPO and HSA plans."
31,31,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
32,32,"Hartford,CT",Full-Time Store Associate,ALDI,$14.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
33,33,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
34,34,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
35,35,"Hartford,CT",Admissions Counselor,Trinity College,,"A valid driver’s license and the ability to drive to off-campus locations.Cultivate strong professional relationships with secondary school counselors,…"
36,36,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
37,37,"Hartford,CT",Virtual Monitoring Attendant,Trinity Health Of New England,,"Excellent Communications: Communicates with internal/external customers/colleagues in a courteous, positive, empathetic and professional manner."
38,38,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
39,39,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
40,40,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
41,41,"Hartford,CT",Customer Contact Center Representative,Voya Financial,"$3,000 a month","Through inbound calls, you will be responsible for building relationships, educating our customers on their retirement plans and responding to customer…"
42,42,"Hartford,CT",RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
43,43,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
44,44,"Hartford,CT",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
45,45,"Hartford,CT",10 month Secretary - Northeast School,Vernon Public Schools,,"The Vernon Public Schools, in partnership with family and community, is committed to provide a quality education, with high expectations, in a safe environment…"
46,46,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
47,47,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
48,48,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
49,49,"Hartford,CT","Investment Risk, Associate",Global Atlantic Financial Group,,"Continually challenge and ensure investment risk profile stays within agreed risk appetite through the establishment, review and monitoring of risk limits."
50,50,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
51,51,"Hartford,CT",Groundskeeper - Buildings and Grounds,Hartford Public Schools,"$39,687 - $43,362 a year","A valid Connecticut driver’s license is required.Saws, pole saws, leaf blowers and all hand tools applied in this field."
52,52,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
53,53,"Hartford,CT",General Wellness Vet Assistant,VCA Animal Hospitals,,The successful candidate will be a believer in the possibilities of high quality veterinary medicine and patient care—with the expertise and technical know-how…
54,54,"Hartford,CT",Front Desk Staff (as-needed),HealthFitness,,"Assists with all member service desk administration and processes, including answering phones.You will greet, check in, and assist members and guests; provide…"
55,55,"Hartford,CT",Elementary Teachers,Vernon Public Schools,,50K term life insurance at no cost to employee.Vernon Public Schools provides teachers with a comprehensive benefits package.
56,56,"Hartford,CT","Project Specialist- Hartford, CT",Tesla,,"Identify common issues and develop suitable solutions to incoming inquiries in a timely, efficient and professional manner.UnitedHealthcare PPO and HSA plans."
57,57,"Hartford,CT",Roadside Assistance Technician,AAA Club Alliance,$16 - $17 an hour ++,"Must possess and maintain a valid driver's license for the state where you reside.Enters call information accurately into in-truck technology, processes…"
58,58,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
59,59,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
60,60,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
61,61,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
62,62,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
63,63,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
64,64,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
65,65,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
66,66,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
67,67,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
68,68,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
69,69,"Hartford,CT",Student and Family Services Coordinator,Avon Public Schools,,Any employee or student wishing to file a complaint regarding discrimination may obtain a copy of the Board’s complaint procedures and complaint form which are…
70,70,"Hartford,CT",PATIENT ACCESS/REGISTRATION (ADMITTING REGISTRAR),Trinity Health Of New England,,"Technical Familiarity: Accurately enter/update all patient demographic information, including insurance and patient liability; post payments to appropriate…"
71,71,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
72,72,"Hartford,CT",Laboratory Assistant - Anxiety Research Center,Hartford Hospital,,"Strong math, science, and computer skills.Additional voluntary benefits as well as employee discount programs.Reports to: Division/Section Supervisor."
73,73,"Hartford,CT",PT Lending Services Assistant - Farmington Libraries,Town of Farmington Connecticut,$16.17 an hour,Part-Time Lending Services Assistant - The Farmington Libraries.
74,74,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
75,75,"Hartford,CT",10 month Secretary - Northeast School,Vernon Public Schools,,"The Vernon Public Schools, in partnership with family and community, is committed to provide a quality education, with high expectations, in a safe environment…"
76,76,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
77,77,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
78,78,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
79,79,"Hartford,CT","Investment Risk, Associate",Global Atlantic Financial Group,,"Continually challenge and ensure investment risk profile stays within agreed risk appetite through the establishment, review and monitoring of risk limits."
80,80,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
81,81,"Hartford,CT",Groundskeeper - Buildings and Grounds,Hartford Public Schools,"$39,687 - $43,362 a year","A valid Connecticut driver’s license is required.Saws, pole saws, leaf blowers and all hand tools applied in this field."
82,82,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
83,83,"Hartford,CT",General Wellness Vet Assistant,VCA Animal Hospitals,,The successful candidate will be a believer in the possibilities of high quality veterinary medicine and patient care—with the expertise and technical know-how…
84,84,"Hartford,CT",Front Desk Staff (as-needed),HealthFitness,,"Assists with all member service desk administration and processes, including answering phones.You will greet, check in, and assist members and guests; provide…"
85,85,"Hartford,CT",Elementary Teachers,Vernon Public Schools,,50K term life insurance at no cost to employee.Vernon Public Schools provides teachers with a comprehensive benefits package.
86,86,"Hartford,CT","Project Specialist- Hartford, CT",Tesla,,"Identify common issues and develop suitable solutions to incoming inquiries in a timely, efficient and professional manner.UnitedHealthcare PPO and HSA plans."
87,87,"Hartford,CT",Roadside Assistance Technician,AAA Club Alliance,$16 - $17 an hour ++,"Must possess and maintain a valid driver's license for the state where you reside.Enters call information accurately into in-truck technology, processes…"
88,88,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
89,89,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
90,90,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
91,91,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
92,92,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
93,93,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
94,94,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
95,95,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
96,96,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
97,97,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
98,98,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
99,99,"Hartford,CT",PATIENT ACCESS/REGISTRATION (ADMITTING REGISTRAR),Trinity Health Of New England,,"Technical Familiarity: Accurately enter/update all patient demographic information, including insurance and patient liability; post payments to appropriate…"
100,100,"Hartford,CT",Student and Family Services Coordinator,Avon Public Schools,,Any employee or student wishing to file a complaint regarding discrimination may obtain a copy of the Board’s complaint procedures and complaint form which are…
101,101,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
102,102,"Hartford,CT",Virtual Monitoring Attendant,Trinity Health Of New England,,"Excellent Communications: Communicates with internal/external customers/colleagues in a courteous, positive, empathetic and professional manner."
103,103,"Hartford,CT",Customer Contact Center Representative,Voya Financial,"$3,000 a month","Through inbound calls, you will be responsible for building relationships, educating our customers on their retirement plans and responding to customer…"
104,104,"Hartford,CT",PT Lending Services Assistant - Farmington Libraries,Town of Farmington Connecticut,$16.17 an hour,Part-Time Lending Services Assistant - The Farmington Libraries.
105,105,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
106,106,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
107,107,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
108,108,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
109,109,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
110,110,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
111,111,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
112,112,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
113,113,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
114,114,"Hartford,CT",Student and Family Services Coordinator,Avon Public Schools,,Any employee or student wishing to file a complaint regarding discrimination may obtain a copy of the Board’s complaint procedures and complaint form which are…
115,115,"Hartford,CT",PATIENT ACCESS/REGISTRATION (ADMITTING REGISTRAR),Trinity Health Of New England,,"Technical Familiarity: Accurately enter/update all patient demographic information, including insurance and patient liability; post payments to appropriate…"
116,116,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
117,117,"Hartford,CT",Laboratory Assistant - Anxiety Research Center,Hartford Hospital,,"Strong math, science, and computer skills.Additional voluntary benefits as well as employee discount programs.Reports to: Division/Section Supervisor."
118,118,"Hartford,CT",PT Lending Services Assistant - Farmington Libraries,Town of Farmington Connecticut,$16.17 an hour,Part-Time Lending Services Assistant - The Farmington Libraries.
119,119,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
120,120,"Hartford,CT",Admissions Counselor,Trinity College,,"A valid driver’s license and the ability to drive to off-campus locations.Cultivate strong professional relationships with secondary school counselors,…"
121,121,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
122,122,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
123,123,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
124,124,"Hartford,CT",Crew Team Member,McDonald's,,"This franchisee owns a license to use McDonald’s logos and food products, for example, when running the restaurant.Prepare all of McDonald’s World Famous food."
125,125,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
126,126,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
127,127,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
128,128,"Hartford,CT",Front Desk Staff (as-needed),HealthFitness,,"Assists with all member service desk administration and processes, including answering phones.You will greet, check in, and assist members and guests; provide…"
129,129,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
130,130,"Hartford,CT",Groundskeeper - Buildings and Grounds,Hartford Public Schools,"$39,687 - $43,362 a year","A valid Connecticut driver’s license is required.Saws, pole saws, leaf blowers and all hand tools applied in this field."
131,131,"Hartford,CT","Investment Risk, Associate",Global Atlantic Financial Group,,"Continually challenge and ensure investment risk profile stays within agreed risk appetite through the establishment, review and monitoring of risk limits."
132,132,"Hartford,CT","Project Specialist- Hartford, CT",Tesla,,"Identify common issues and develop suitable solutions to incoming inquiries in a timely, efficient and professional manner.UnitedHealthcare PPO and HSA plans."
133,133,"Hartford,CT",General Wellness Vet Assistant,VCA Animal Hospitals,,The successful candidate will be a believer in the possibilities of high quality veterinary medicine and patient care—with the expertise and technical know-how…
134,134,"Hartford,CT",Elementary Teachers,Vernon Public Schools,,50K term life insurance at no cost to employee.Vernon Public Schools provides teachers with a comprehensive benefits package.
135,135,"Hartford,CT",Anticipated Elementary Classroom Teachers (FT) for 2021-2022,Farmington Public Schools (CT),"$49,020 - $104,599 a year","JobID: 1697 Position Type: Teaching - Elementary/Primary - Grades 1, 2, 3, 4 Date Posted: 3/10/2021 Location: Townwide Date Available: August 2021…"
136,136,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
137,137,"Hartford,CT",Crew,Trader Joe's,$13 - $14 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
138,138,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
139,139,"Hartford,CT",Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
140,140,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
141,141,"Hartford,CT",Social Media Specialist I,ESPN,,"1+ years’ experience in social media or a closely related field.Bachelor’s Degree in journalism, communications, online/multimedia or related field OR a high…"
142,142,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
143,143,"Hartford,CT",Materials Servicer B,Pratt & Whitney,,"Experience driving a fork truck or willingness to learn.The individual in this position may be assigned to carry out tasks, not specifically listed, within the…"
144,144,"Hartford,CT",Student and Family Services Coordinator,Avon Public Schools,,Any employee or student wishing to file a complaint regarding discrimination may obtain a copy of the Board’s complaint procedures and complaint form which are…
145,145,"Hartford,CT",PATIENT ACCESS/REGISTRATION (ADMITTING REGISTRAR),Trinity Health Of New England,,"Technical Familiarity: Accurately enter/update all patient demographic information, including insurance and patient liability; post payments to appropriate…"
146,146,"Hartford,CT",Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
147,147,"Hartford,CT",Laboratory Assistant - Anxiety Research Center,Hartford Hospital,,"Strong math, science, and computer skills.Additional voluntary benefits as well as employee discount programs.Reports to: Division/Section Supervisor."
148,148,"Hartford,CT",PT Lending Services Assistant - Farmington Libraries,Town of Farmington Connecticut,$16.17 an hour,Part-Time Lending Services Assistant - The Farmington Libraries.
149,149,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
150,150,"Hartford,CT",Admissions Counselor,Trinity College,,"A valid driver’s license and the ability to drive to off-campus locations.Cultivate strong professional relationships with secondary school counselors,…"
151,151,"Hartford,CT",General Warehouse Associate,"The TJX Companies, Inc.",$14 - $16 an hour,We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state…
152,152,"Hartford,CT",Employment Security Intermittent Interviewer,State of Connecticut - Department of Labor,$21.67 an hour,Selected candidates will additionally be given technology that will enable them to make and receive phone calls through their laptop.
153,153,"Hartford,CT","Representative, Contact Center II",EVERSOURCE,,As an energy advisor you will resolve inbound telephone and/or electronic inquiries in a timely manner.Training hours: Applicants must be able to work Monday…
154,154,"Hartford,CT",Crew Team Member,McDonald's,,"This franchisee owns a license to use McDonald’s logos and food products, for example, when running the restaurant.Prepare all of McDonald’s World Famous food."
155,155,"Hartford,CT",Kennel Assistant,VCA Animal Hospitals,,"We offer competitive compensation and great benefits for eligible employees, including medical/dental, generous personal pet care discounts and more!"
156,156,"Hartford,CT","Cashier- New Britain, CT",Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
157,157,"Hartford,CT",Airfoil Cell Operator - 2nd Shift,Pratt & Whitney,,"Perform bench assembly and finishing operations as assigned, using a variety of hand held tools, power tools and other equipment to process parts during various…"
158,158,"Hartford,CT",Front Desk Staff (as-needed),HealthFitness,,"Assists with all member service desk administration and processes, including answering phones.You will greet, check in, and assist members and guests; provide…"
